#{"t_start": 1673361826.7080061, "env_id": "WurtzExtract-v1"}
r,l,t
0.333333,1,10.393323
0.333333,1,10.395353
0.333333,1,10.397246
0.333333,1,10.39928
0.333333,1,10.401129
0.333333,1,10.403083
0.333333,1,10.40491
0.333333,1,10.406847
0.333333,1,10.408704
0.333333,1,10.410788
0.333333,1,10.412704
0.333333,1,10.414701
0.333333,1,10.416595
0.333333,1,10.418537
0.333333,1,10.420421
0.333333,1,10.422499
0.333333,1,10.424377
0.333333,2,10.432273
0.333333,1,10.434179
0.333333,1,10.436081
0.333333,2,10.443786
0.333333,1,10.445882
0.333333,1,10.447773
0.333333,1,10.449778
0.333333,1,10.451787
0.333333,1,10.453717
0.333333,1,10.455635
0.333333,1,10.4582
0.333333,1,10.46006
0.333333,1,10.46197
0.333333,1,10.46387
0.333333,1,10.465826
0.333333,1,10.467754
0.333333,3,10.482679
0.333333,1,10.484648
0.333333,1,10.486598
0.333333,1,10.488503
0.333333,1,10.49043
0.333333,1,10.492385
0.333333,1,10.515965
0.333333,1,10.518288
0.333333,1,10.520226
0.333333,1,10.522122
0.333333,1,10.52409
0.333333,1,10.52597
0.333333,1,10.527989
0.333333,1,10.52988
0.333333,1,10.531795
0.333333,1,10.533737
0.333333,1,10.535656
0.333333,1,10.537565
0.333333,1,10.539569
0.333333,1,10.541488
0.333333,1,10.543448
0.333333,2,10.551015
0.333333,1,10.552984
0.333333,1,10.555038
0.333333,1,10.557059
0.333333,1,10.559093
0.333333,1,10.561092
0.333333,1,10.563108
0.333333,1,10.565083
0.333333,1,10.567069
0.333333,1,10.569158
0.333333,1,10.571148
0.333333,1,10.573139
0.333333,1,10.575139
0.333333,1,10.577091
0.333333,1,10.579033
0.333333,1,10.581179
0.333333,1,10.583259
0.333333,1,10.585319
0.333333,1,10.5874
0.333333,1,10.589373
0.333333,1,10.591381
0.333333,1,10.593472
0.333333,1,10.59549
0.333333,1,10.59748
0.333333,2,10.605317
0.333333,1,10.60725
0.333333,1,10.609191
0.333333,1,10.61133
0.333333,1,10.613292
0.333333,1,10.615213
0.333333,1,10.617161
0.333333,1,10.619105
0.333333,1,10.621046
0.333333,1,10.623151
0.333333,1,10.625083
0.333333,1,10.627095
0.333333,1,10.629054
0.333333,2,10.636783
0.333333,1,10.638819
0.333333,1,10.640951
0.333333,1,10.643034
0.333333,1,10.644998
0.333333,1,10.646986
0.333333,1,10.648949
0.333333,1,10.651058
0.333333,2,10.659384
0.333333,1,10.661359
0.333333,1,10.663244
0.333333,1,10.665212
0.333333,1,10.667163
0.333333,1,10.669096
0.333333,1,10.671195
0.333333,1,10.673126
0.333333,1,10.675148
0.333333,1,10.677088
0.333333,1,10.679102
0.333333,1,10.681026
0.333333,1,10.683091
0.333333,1,10.685108
0.333333,1,10.687108
0.333333,1,10.68908
0.333333,1,10.703271
0.333333,3,10.717128
0.333333,1,10.719201
0.333333,1,10.721195
0.333333,1,10.723223
0.333333,1,10.725228
0.333333,1,10.727316
0.333333,1,10.729236
0.333333,1,10.731203
0.333333,1,10.733134
0.333333,1,10.735107
0.333333,1,10.737036
0.333333,1,10.739172
0.333333,1,10.741048
0.333333,1,10.742978
0.333333,1,10.744877
0.333333,1,10.746776
0.333333,2,10.754293
0.333333,1,10.756272
0.333333,1,10.758211
0.333333,1,10.760183
0.333333,1,10.762195
0.333333,1,10.764215
0.333333,1,10.766129
0.333333,1,10.768127
0.333333,1,10.770143
0.333333,1,10.771997
0.333333,1,10.773958
0.333333,1,10.775837
0.333333,1,10.777799
0.333333,1,10.77985
0.333333,1,10.781774
0.333333,1,10.783739
0.333333,1,10.785621
0.333333,1,10.787502
0.333333,1,10.789386
0.333333,1,10.791449
0.333333,1,10.793383
0.333333,1,10.795324
0.333333,1,10.797177
0.333333,1,10.799188
0.333333,1,10.80108
0.333333,1,10.803131
0.333333,1,10.804972
0.333333,1,10.806947
0.333333,1,10.830229
0.333333,1,10.83248
0.333333,1,10.834628
0.333333,1,10.836641
0.333333,1,10.838798
0.333333,1,10.840729
0.333333,1,10.842704
0.333333,1,10.844625
0.333333,1,10.846557
0.333333,1,10.848482
0.333333,1,10.851047
0.333333,1,10.852934
0.333333,1,10.854833
0.333333,1,10.856725
0.333333,1,10.858628
0.333333,1,10.860572
0.333333,1,10.862629
0.333333,1,10.864505
0.333333,1,10.866482
0.333333,1,10.868477
0.333333,1,10.870543
0.333333,1,10.872483
0.333333,1,10.874532
0.333333,1,10.876478
0.333333,1,10.878445
0.333333,1,10.88039
0.333333,1,10.88236
0.333333,1,10.884261
0.333333,1,10.886392
0.333333,1,10.888318
0.333333,1,10.890246
0.333333,1,10.892082
0.333333,1,10.893989
0.333333,1,10.895849
0.333333,1,10.897825
0.333333,1,10.899673
0.333333,1,10.901492
0.333333,2,10.90925
0.333333,1,10.911184
0.333333,1,10.913069
0.333333,1,10.91516
0.333333,1,10.917067
0.333333,1,10.919008
0.333333,1,10.920858
0.333333,1,10.92279
0.333333,1,10.924722
0.333333,1,10.926879
0.333333,1,10.928742
0.333333,1,10.930676
0.333333,1,10.932665
0.333333,1,10.934755
0.333333,1,10.936753
0.333333,1,10.93888
0.333333,1,10.940862
0.333333,1,10.942918
0.333333,1,10.944882
0.333333,1,10.946887
0.333333,1,10.948888
0.333333,1,10.951076
0.333333,1,10.953019
0.333333,1,10.955012
0.333333,1,10.957004
0.333333,1,10.959
0.333333,1,10.960966
0.333333,1,10.963087
0.333333,1,10.964938
0.333333,3,10.978557
0.333333,1,10.980525
0.333333,1,10.982482
0.333333,1,10.984389
0.333333,1,10.986486
0.333333,1,10.988406
0.333333,1,10.990294
0.333333,1,10.992223
0.333333,1,10.994166
0.333333,1,10.99609
0.333333,1,10.998148
0.333333,1,11.000094
0.333333,1,11.001979
0.333333,1,11.003891
0.333333,1,11.005888
0.333333,1,11.007878
0.333333,1,11.01054
0.333333,2,11.018245
0.333333,1,11.020126
0.333333,1,11.022028
0.333333,1,11.023927
