#{"t_start": 1674007728.5418468, "env_id": "WurtzDistill-v1"}
r,l,t
0.2,2,27.700358
0.2,2,27.711169
0.2,3,27.724328
0.2,2,27.731646
0.2,2,27.738971
0.2,1,27.740518
0.2,4,27.76141
0.2,2,27.769528
0.2,1,27.771068
0.2,1,27.772605
0.2,1,27.774143
0.2,1,27.775672
0.2,3,27.789573
0.2,2,27.800416
0.2,6,27.833838
0.2,1,27.835383
0.2,2,27.840467
0.2,3,27.855019
0.2,2,27.865034
0.2,2,27.87234
0.2,1,27.873884
0.2,2,27.881478
0.2,3,27.894853
0.2,2,27.902236
0.2,1,27.903782
0.2,1,27.905317
0.2,1,27.906858
0.2,3,27.92424
0.2,6,27.966415
0.2,1,27.967967
0.2,4,27.991101
0.2,1,27.992653
0.2,3,28.009802
0.2,3,28.02661
0.2,1,28.028186
0.2,6,28.064617
0.2,2,28.072688
0.2,1,28.074226
0.2,1,28.07578
0.2,2,28.083088
0.2,1,28.084635
0.2,2,28.092591
0.2,2,28.100601
0.2,1,28.102146
0.2,4,28.125218
0.2,3,28.142525
0.2,2,28.149896
0.2,2,28.157233
0.2,1,28.158774
0.2,6,28.201934
0.2,3,28.216392
0.2,1,28.217938
0.2,8,28.266256
0.2,3,28.280182
0.2,1,28.281729
0.2,1,28.28327
0.2,2,28.290585
0.2,3,28.304502
0.2,3,28.31893
0.2,3,28.333357
0.2,5,28.357201
0.2,4,28.377638
0.2,3,28.395511
0.2,2,28.402848
0.2,2,28.410527
0.2,4,28.431907
0.2,4,28.449477
0.2,1,28.451021
0.2,2,28.459066
0.2,5,28.486674
0.2,3,28.504194
0.2,2,28.50929
0.2,12,28.589927
0.2,2,28.597265
0.2,2,28.605267
0.2,1,28.606808
0.2,4,28.624983
0.2,1,28.626525
0.2,1,28.628224
0.2,1,28.629761
0.2,1,28.631285
0.2,2,28.638668
0.2,1,28.640216
0.2,5,28.675067
0.2,2,28.683129
0.2,4,28.708966
0.2,2,28.717016
0.2,3,28.727933
0.2,1,28.729473
0.2,2,28.73682
0.2,3,28.75002
0.2,1,28.751566
0.2,1,28.753114
0.2,2,28.764041
0.2,2,28.772055
0.2,4,28.794497
0.2,4,28.815552
0.2,2,28.820632
0.2,2,28.831424
0.2,6,28.864941
0.2,2,28.875695
0.2,5,28.901901
0.2,1,28.903446
0.2,2,28.914227
0.2,3,28.928064
0.2,5,28.960447
0.2,1,28.961994
0.2,5,28.998941
0.2,1,29.000517
0.2,4,29.030149
0.2,4,29.05396
0.2,1,29.055504
0.2,1,29.057048
-0.8,4,29.077812
0.2,2,29.085841
0.2,1,29.087381
0.2,5,29.114832
0.2,5,29.142056
0.2,1,29.143607
0.2,3,29.157472
0.2,2,29.165544
0.2,1,29.167256
0.2,3,29.181704
0.2,1,29.183248
0.2,6,29.220899
0.2,6,29.259129
0.2,5,29.28682
0.2,1,29.288372
0.2,1,29.289915
0.2,1,29.291451
0.2,5,29.318531
0.2,3,29.333099
0.2,1,29.33464
0.2,3,29.349091
0.2,1,29.350634
0.2,1,29.352184
0.2,3,29.366802
0.2,2,29.374822
0.2,1,29.376368
0.2,1,29.377905
0.2,2,29.385929
0.2,2,29.393912
0.2,1,29.395454
0.2,1,29.397003
0.2,1,29.398542
0.2,2,29.4066
0.2,3,29.425906
0.2,1,29.427458
0.2,5,29.454458
0.2,3,29.472019
0.2,3,29.486128
0.2,2,29.494147
0.2,2,29.502186
0.2,2,29.510243
0.2,3,29.524684
0.2,7,29.567723
0.2,2,29.57577
0.2,5,29.605046
0.2,1,29.606587
0.2,1,29.608135
0.2,2,29.616166
0.2,6,29.652069
0.2,2,29.662755
0.2,3,29.676637
0.2,1,29.678172
0.2,1,29.679884
0.2,2,29.687866
0.2,3,29.70176
0.2,3,29.715653
0.2,1,29.717201
0.2,2,29.727935
0.2,7,29.766472
0.2,1,29.768029
0.2,3,29.784744
0.2,1,29.786296
0.2,1,29.78784
0.2,5,29.814719
0.2,3,29.829215
0.2,3,29.842442
0.2,2,29.853353
0.2,3,29.867997
0.2,2,29.876064
0.2,4,29.895886
0.2,2,29.903891
0.2,1,29.90544
0.2,2,29.91351
0.2,3,29.928128
0.2,2,29.939106
0.2,4,29.963582
0.2,2,29.971608
0.2,1,29.973154
0.2,2,29.98117
0.2,2,29.989134
0.2,2,29.997334
0.2,1,29.998874
0.2,1,30.000412
0.2,2,30.007717
0.2,1,30.00926
0.2,2,30.017256
0.2,3,30.03168
0.2,1,30.033229
0.2,2,30.041222
0.2,4,30.061002
0.2,1,30.062548
0.2,1,30.064099
0.2,2,30.071426
0.2,1,30.07297
0.2,7,30.117625
0.2,6,30.150625
0.2,1,30.152182
0.2,4,30.176156
0.2,2,30.18693
0.2,1,30.188492
0.2,3,30.203072
0.2,3,30.217052
0.2,2,30.227822
0.2,2,30.235799
0.2,1,30.237334
0.2,2,30.245354
0.2,1,30.246896
0.2,2,30.254217
0.2,4,30.279759
0.2,4,30.300762
0.2,6,30.335103
0.2,2,30.343155
0.2,1,30.344701
0.2,11,30.413587
0.2,2,30.421675
0.2,1,30.423218
0.2,3,30.437125
0.2,1,30.438675
0.2,1,30.440223
0.2,2,30.448248
0.2,2,30.45556
0.2,2,30.46355
0.2,6,30.506461
0.2,5,30.537496
0.2,5,30.569355
0.2,1,30.570901
0.2,1,30.572438
0.2,4,30.592797
0.2,5,30.620203
0.2,1,30.621745
0.2,1,30.623287
0.2,1,30.624831
0.2,5,30.661455
0.2,1,30.662993
0.2,2,30.670399
0.2,1,30.671947
0.2,2,30.679276
0.2,1,30.680823
0.2,3,30.694622
-0.8,6,30.730605
